NAME,Symbol,Market Value (millions)
GOLD FIELDS LTD.,GFI,"$11,632.30"
CSX CORPORATION,CSX,"$11,628.80"
"NETWORK APPLIANCE, INC.",NTAP,"$11,609.70"
"CONSOLIDATED EDISON, INC.",ED,"$11,515.60"
PP&L CORPORATION,PPL,"$11,453.60"
"HELLENIC TELECOMMUNICATION ORGANIZATION, S.A.",OTE,"$11,430.60"
NORTHERN TRUST CORPORATION,NTRS,"$11,394.60"
"ROGERS COMMUNICATION, INC.",RG,"$11,374.60"
H.J. HEINZ COMPANY,HNZ,"$11,358.70"
LINEAR TECHNOLOGY CORPORATION,LLTC,"$11,340.30"
ROHM AND HAAS COMPANY,ROH,"$11,277.80"
"NORDSTROM, INC.",JWN,"$11,259.50"
PLACER DOME INCORPORATED,PDG,"$11,240.30"
CHINA NETCOM GROUP CORPORATION (HONG KONG) LIMITED,CN,"$11,205.70"
QWEST COMMUNICATIONS INTERNATIONAL INC.,Q,"$11,197.20"
ISHARES MSCI JAPAN INDEX FUND,EWJ,"$11,194.60"
CHINA UNICOM LTD,CHU,"$11,191.10"
TEXTRON INC.,TXT,"$11,180.10"
AES TRUST,AES,"$11,178.00"
BED BATH & BEYOND INC.,BBBY,"$11,105.50"
ENBRIDGE INC,ENB,"$11,080.40"
NOBLE CORPORATION,NE,"$11,011.90"
PROGRESS ENERGY INC,PGN,"$10,977.50"
"FORTUNE BRANDS, INC.",FO,"$10,952.60"
AON CORPORATION,AOC,"$10,950.90"
ASML HOLDING N.V.,ASML,"$10,931.10"
"DIAMOND OFFSHORE DRILLING, INC.",DO,"$10,922.20"
REUTERS GROUP PLC,RTRSY,"$10,877.70"
FIAT S.P.A.,FIA,"$10,791.40"
"CONAGRA FOODS, INC.",CAG,"$10,764.30"
UPM-KYMMENE OYJ,UPM,"$10,737.20"
UNITED UTILITIES PLC.,UU,"$10,659.90"
CIT GROUP INC (DEL),CIT,"$10,656.10"
MURPHY OIL CORPORATION,MUR,"$10,575.30"
MGM MIRAGE,MGM,"$10,549.50"
SAFEWAY INC.,SWY,"$10,531.60"
REED ELSEVIER NV,ENL,"$10,516.40"
ADECCO SA,ADO,"$10,480.80"
FORD MTR CO DEL,F^A,"$10,470.00"
"PEARSON, PLC",PSO,"$10,453.40"
"CONSTELLATION ENERGY GROUP, INC.",CEG,"$10,406.10"
AMEREN CORPORATION,AEE,"$10,368.90"
CHINA PETROLEUM & CHEMICAL CORPORATION,SNP,"$10,360.30"
"PULTE HOMES, INC.",PHM,"$10,313.00"
KLA-TENCOR CORPORATION,KLAC,"$10,261.50"
"JUNIPER NETWORKS, INC.",JNPR,"$10,238.70"
"OFFICE DEPOT, INC.",ODP,"$10,238.50"
"AMERIPRISE FINANCIAL SERVICES, INC.",AMP,"$10,168.40"
"GALLAHER GROUP, PLC",GLH,"$10,135.20"
"WHOLE FOODS MARKET, INC.",WFMI,"$10,039.50"
QUEST DIAGNOSTICS INCORPORATED,DGX,"$9,989.20"
"T. ROWE PRICE GROUP, INC.",TROW,"$9,988.70"
"PPG INDUSTRIES, INC.",PPG,"$9,938.10"
ARCHSTONE COMMUNITIES TRUST,ASN,"$9,933.90"
E*TRADE FINANCIAL CORPORATION,ET,"$9,910.50"
MARSHALL & ILSLEY CORPORATION,MI,"$9,872.70"
COLES MEYER LIMITED,CM,"$9,867.00"
ENTERPRISE PRODUCTS PARTNERS L.P.,EPD,"$9,851.80"
"XILINX, INC.",XLNX,"$9,814.40"
EATON CORPORATION,ETN,"$9,797.60"
"APOLLO GROUP, INC.",APOL,"$9,795.10"
PITNEY BOWES INC,PBI,"$9,749.70"
"L-3 COMMUNICATIONS HOLDINGS, INC.",LLL,"$9,733.30"
INCO LTD.,N,"$9,717.30"
TDK CORPORATION,TDK,"$9,686.90"
"COVENTRY HEALTH CARE, INC.",CVH,"$9,678.00"
UNIONBANCAL CORPORATION,UB,"$9,674.80"
"OPEN JOINT STOCK COMPANY VIMPEL-COMMUNICATIONS""""",VIP,"$9,599.80"
AMSOUTH BANCORPORATION,ASO,"$9,597.20"
"SMITH INTERNATIONAL, INC.",SII,"$9,557.60"
NATIONAL SEMICONDUCTOR CORPORATION,NSM,"$9,520.50"
HILTON HOTELS CORPORATION,HLT,"$9,509.60"
"LIMITED BRANDS, INC.",LTD,"$9,470.30"
"ITT INDUSTRIES, INC.",ITT,"$9,465.20"
LINCOLN NATIONAL CORPORATION,LNC,"$9,446.70"
"BIOMET, INC.",BMET,"$9,417.60"
"PUBLIC STORAGE, INC.",PSA,"$9,414.70"
"SMITH & NEPHEW SNATS, INC.",SNN,"$9,392.80"
"AUTODESK, INC.",ADSK,"$9,384.80"
COMPUTER SCIENCES CORPORATION,CSC,"$9,380.00"
A.O. TATNEFT,TNT,"$9,368.40"
"COCA-COLA ENTERPRISES, INC.",CCE,"$9,347.20"
POTASH CORPORATION OF SASKATCHEWAN INC.,POT,"$9,322.40"
DOVER CORPORATION,DOV,"$9,308.50"
GRUPO TELEVISA S.A.,TV,"$9,298.80"
GOLDCORP INCORPORATED,GG,"$9,292.60"
"ALBERTSON'S, INC.",ABS,"$9,279.60"
INTUIT INC.,INTU,"$9,259.60"
HERSHEY FOODS CORPORATION,HSY,"$9,248.80"
MITTAL STEEL COMPANY NV,MT,"$9,245.60"
ECOLAB INC.,ECL,"$9,168.20"
CENTEX CORPORATION,CTX,"$9,120.00"
STORA ENSO OYJ,SEO,"$9,109.40"
"MICRON TECHNOLOGY, INC.",MU,"$9,084.00"
HUMANA INC.,HUM,"$9,078.70"
PARKER-HANNIFIN CORPORATION,PH,"$9,074.70"
COMERICA INCORPORATED,CMA,"$9,041.60"
"BANCO SANTIAGO, S.A.",SAN,"$9,041.40"
CLOROX COMPANY (THE),CLX,"$9,019.50"
TRIBUNE COMPANY,TRB,"$8,935.70"
AU OPTRONICS CORP,AUO,"$8,914.90"
EL PASO CORPORATION,EP,"$8,875.80"
"BOSTON PROPERTIES, INC.",BXP,"$8,805.00"
CINERGY CORPORATION,CIN,"$8,665.50"
EMPRESA NACIONAL DE ELECTRICIDAD S.A.,EOC,"$8,658.30"
SYNOVUS FINANCIAL CORPORATION,SNV,"$8,650.70"
ISHARES MSCI EMERGING INDEX FUND,EEM,"$8,618.10"
CHIRON CORPORATION,CHIR,"$8,599.10"
ROYAL CARIBBEAN CRUISES LTD.,RCL,"$8,586.30"
MIDCAP SPDR TRUST SERIES I,MDY,"$8,574.80"
IAC/INTERACTIVECORP,IACI,"$8,486.10"
MIRANT CORP,MIR,"$8,400.00"
"MEDIMMUNE, INC.",MEDI,"$8,395.50"
RYANAIR HOLDINGS PLC,RYAAY,"$8,393.00"
HANSON PLC.(HOLDING COMPANY),HAN,"$8,332.90"
"JABIL CIRCUIT, INC.",JBL,"$8,298.00"
ZIONS BANCORPORATION,ZION,"$8,297.40"
"EXPEDIA, INC.",EXPE,"$8,259.70"
IVAX CORPORATION,IVX,"$8,255.50"
"MBIA, INC.",MBI,"$8,252.90"
ISHARES RUSSELL 2000 INDEX FUND,IWM,"$8,251.00"
SERONO INTERNATIONAL S.A.,SRA,"$8,227.80"
FISHER SCIENTIFIC INTERNATIONAL INC.,FSH,"$8,200.10"
TD AMERITRADE HOLDING CORPORATION,AMTD,"$8,192.60"
"AMBAC FINANCIAL GROUP, INC.",ABK,"$8,114.10"
"FISERV, INC.",FISV,"$8,114.00"
NOBLE ENERGY INC.,NBL,"$8,096.40"
CNA FINANCIAL CORPORATION,CNA,"$8,093.60"
"ROCKWELL COLLINS, INC.",COL,"$8,083.50"
ULTRA PETROLEUM CORP.,UPL,"$8,060.60"
"H&R BLOCK, INC.",HRB,"$8,014.00"
"MAGNA INTERNATIONAL, INC.",MGA,"$8,005.60"
KIMCO REALTY CORPORATION,KIM,"$7,975.40"
CINCINNATI FINANCIAL CORPORATION,CINF,"$7,956.20"
"VARIAN MEDICAL SYSTEMS, INC.",VAR,"$7,937.80"
HUTCHISON TELECOMMUNICATIONS INTERNATIONAL LIMITED,HTX,"$7,936.70"
ENERSIS S A,ENI,"$7,914.60"
COMPANHIA SIDERURGICA NACIONAL S.A.,SID,"$7,890.00"
MICROCHIP TECHNOLOGY INCORPORATED,MCHP,"$7,883.90"
"CHICO'S FAS, INC.",CHS,"$7,883.30"
SHIRE PLC,SHPGY,"$7,863.20"
"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",EXPD,"$7,841.60"
ENSCO INTERNATIONAL INCORPORATED,ESV,"$7,834.90"
LENNAR CORPORATION,LEN,"$7,827.50"
ASCO PLC ADS,AAA,"$7,827.30"
XCEL ENERGY INC.,XEL,"$7,824.10"
JEFFERSON-PILOT CORPORATION,JP,"$7,818.10"
LABORATORY CORPORATION OF AMERICA HOLDINGS,LH,"$7,795.80"
TELECOMUNICACOES DE SAO PAULO S.A.,TSP,"$7,789.90"
"SOVEREIGN BANCORP, INC.",SOV,"$7,786.00"
IMPERIAL CHEMICAL INDUSTRIES PLC,ICI,"$7,774.50"
NVIDIA CORPORATION,NVDA,"$7,696.10"
"KINDER MORGAN ENERGY PARTNERS, L.P.",KMP,"$7,686.90"
DIAMONDS TRUST SERIES I,DIA,"$7,644.00"
FLUOR CORPORATION,FLR,"$7,636.30"
CANADIAN PACIFIC RAILWAY LIMITED,CP,"$7,630.40"
TELECOM CORPORATION OF NEW ZEALAND LIMITED,NZT,"$7,614.40"
CHINA LIFE INSURANCE COMPANY LIMITED,LFC,"$7,614.20"
UNIVISION COMMUNICATIONS INC.,UVN,"$7,574.40"
"AMERICAN STANDARD COMPANIES, INC.",ASD,"$7,564.90"
SIRIUS SATELLITE RADIO INC.,SIRI,"$7,549.50"
DTE ENERGY COMPANY,DTE,"$7,504.30"
"AUTOZONE, INC.",AZO,"$7,500.00"
AMVESCAP PLC,AVZ,"$7,492.90"
"COOPER INDUSTRIES, LTD.",CBE,"$7,481.10"
"NII HOLDINGS, INC.",NIHD,"$7,471.00"
PUBLICIS GROUPE S.A.,PUB,"$7,470.40"
FRESENIUS MEDICAL CARE CORPORATION,FMS,"$7,424.20"
"HUDSON CITY BANCORP, INC.",HCBK,"$7,422.50"
GENUINE PARTS COMPANY,GPC,"$7,379.90"
"AFFILIATED COMPUTER SERVICES, INC.",ACS,"$7,367.10"
KB HOME,KBH,"$7,364.40"
HARMONY GOLD MINING CO. LTD.,HMY,"$7,343.20"
"AVALONBAY COMMUNITIES, INC.",AVB,"$7,328.00"
VULCAN MATERIALS COMPANY,VMC,"$7,319.80"
INTERNATIONAL POWER PLC,IPR,"$7,263.90"
SHERWIN-WILLIAMS COMPANY (THE),SHW,"$7,242.30"
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,CTSH,"$7,237.90"
"HARMAN INTERNATIONAL INDUSTRIES, INCORPORATED",HAR,"$7,234.80"
COCA COLA HELLENIC BOTTLING CO,CCH,"$7,220.80"
EASTMAN KODAK COMPANY,EK,"$7,209.30"
SOUTHWESTERN ENERGY COMPANY,SWN,"$7,207.10"
ISHARES DOW JONES SELECT DIVIDEND INDEX FUND,DVY,"$7,199.60"
HOSPIRA INC,HSP,"$7,198.20"
SODEXHO ALLIANCE SA,SDX,"$7,188.00"
CINTAS CORPORATION,CTAS,"$7,155.10"
"BARR PHARMACEUTICALS, INC.",BRL,"$7,056.00"
HOST MARRIOTT FINANCIAL TRUST,HMT,"$7,051.50"
INFINEON TECHNOLOGIES AG,IFX,"$7,049.50"
R.R. DONNELLEY & SONS COMPANY,RRD,"$7,025.30"
ALTERA CORPORATION,ALTR,"$6,999.20"
BROOKFIELD PROPERTIES CORPORATION,BPO,"$6,984.90"
"PEPSI BOTTLING GROUP, INC. (THE)",PBG,"$6,975.30"
QUESTAR CORPORATION,STR,"$6,948.60"
"C.H. ROBINSON WORLDWIDE, INC.",CHRW,"$6,918.60"
PIXAR,PIXR,"$6,870.20"
CPFL ENERGIA S.A.,CPL,"$6,852.50"
"WENDY'S INTERNATIONAL, INC.",WEN,"$6,852.40"
"FIDELITY NATIONAL FINANCIAL, INC.",FNF,"$6,849.10"
PIONEER NATURAL RESOURCES COMPANY,PXD,"$6,825.00"
NCR CORPORATION,NCR,"$6,820.70"
FREESCALE SEMICONDUCTOR INC,FSL/B,"$6,817.00"
"PLUM CREEK TIMBER COMPANY, INC.",PCL,"$6,798.90"
"DASSAULT SYSTEMES, S.A.",DASTY,"$6,792.20"
"ELAN CORPORATION, PLC",ELN,"$6,782.70"
USX CORPORATION,X,"$6,774.70"
BLACK & DECKER CORPORATION (THE),BDK,"$6,766.90"
CROWN CASTLE INTERNATIONAL CORPORATION,CCI,"$6,750.90"
CONSOL ENERGY INC.,CNX,"$6,745.10"
ALUMINA LTD,AWC,"$6,738.90"
GARMIN LTD.,GRMN,"$6,714.80"
NEWFIELD EXPLORATION COMPANY,NFX,"$6,667.10"
INTERCONTINENTAL HOTELS GROUP,IHG,"$6,664.30"
"MATTEL, INC.",MAT,"$6,663.00"
"C.R. BARD, INC.",BCR,"$6,650.70"
PRECISION CASTPARTS CORPORATION,PCP,"$6,633.40"
"SCIENTIFIC-ATLANTA, INC.",SFA,"$6,597.20"
TECHNIP,TKP,"$6,584.30"
BUNGE LIMITED,BG,"$6,577.70"
BRITISH AIRWAYS PLC,BAB,"$6,576.10"
TELUS CORPORATION,TU,"$6,575.00"
JOY GLOBAL INC.,JOYG,"$6,566.60"
ROYAL & SUNALLIANCE INSURANCE GROUP PLC,RSA,"$6,564.30"
"ETABLISSEMENTS DELHAIZE FRERES ET CIE LE LION"" S.A.""",DEG,"$6,536.00"
NEWELL RUBBERMAID INC.,NWL,"$6,512.80"
"PATTERSON-UTI ENERGY, INC.",PTEN,"$6,500.80"
AMDOCS LIMITED,DOX,"$6,483.20"
SAFECO CORPORATION,SAFC,"$6,454.80"
"GRANT PRIDECO, INC.",GRP,"$6,440.20"
"WYNN RESORTS, LIMITED",WYNN,"$6,427.20"
UST INC.,UST,"$6,369.40"
"W.W. GRAINGER, INC.",GWW,"$6,363.60"
SATYAM COMPUTER SERVICES LIMITED,SAY,"$6,338.10"
GERDAU S.A.,GGB,"$6,336.30"
LAM RESEARCH CORPORATION,LRCX,"$6,314.20"
W.R. BERKLEY CORPORATION,BER,"$6,295.20"
KEYSPAN CORPORATION,KSE,"$6,263.00"
PHILIPPINE LONG DISTANCE TELEPHONE COMPANY,PHI,"$6,255.80"
ENERPLUS RESOURCES FUND,ERF,"$6,239.00"
HARRIS CORPORATION,HRS,"$6,222.90"
ROBERT HALF INTERNATIONAL INC.,RHI,"$6,221.30"
HDFC BANK LIMITED,HDB,"$6,185.30"
V.F. CORPORATION,VFC,"$6,168.10"
"DARDEN RESTAURANTS, INC.",DRI,"$6,146.50"
AIR FRANCE ADS,AKH,"$6,144.60"
"SUNTECH POWER HOLDINGS CO., LTD.",STP,"$6,139.70"
E.W. SCRIPPS COMPANY (THE),SSP,"$6,135.50"
"AMERICA MOVIL, S.A. DE C.V.",AMOV,"$6,112.40"
"VERISIGN, INC.",VRSN,"$6,087.50"
"COMPASS BANCSHARES, INC.",CBSS,"$6,067.60"
UNUMPROVIDENT CORPORATION,UNM,"$6,058.70"
TATA MOTORS LTD,TTM,"$6,042.50"
SEPRACOR INC.,SEPR,"$6,037.10"
"ASSURANT, INC.",AIZ,"$6,010.80"
WASHINGTON POST COMPANY (THE),WPO,"$6,008.50"
"MEMC ELECTRONIC MATERIALS, INC.",WFR,"$6,001.60"
FLEXTRONICS INTERNATIONAL LTD.,FLEX,"$5,999.60"
MGIC INVESTMENT CORPORATION,MTG,"$5,989.20"
"EVEREST RE GROUP, LTD.",RE,"$5,979.30"
AVERY DENNISON CORPORATION,AVY,"$5,956.10"
"OMNICARE, INC.",OCR,"$5,955.90"
LYONDELL CHEMICAL COMPANY,LYO,"$5,931.70"
MOSAIC COMPANY (THE),MOS,"$5,930.10"
"AUTONATION, INC.",AN,"$5,848.70"
ECHOSTAR COMMUNICATIONS CORPORATION,DISH,"$5,839.20"
TORCHMARK CORPORATION,TMK,"$5,821.90"
ABERCROMBIE & FITCH COMPANY,ANF,"$5,818.00"
XM SATELLITE RADIO HOLDINGS INC.,XMSR,"$5,817.40"
"COMMERCE BANCORP, INC.",CBH,"$5,806.90"
"SANTOS, LTD.",STOSY,"$5,792.80"
FASTENAL COMPANY,FAST,"$5,762.70"
"MOHAWK INDUSTRIES, INC.",MHK,"$5,739.90"
"TELLABS, INC.",TLAB,"$5,735.70"
TELEWEST GLOBAL INC,TLWT,"$5,729.70"
"WHITE MOUNTAINS INSURANCE GROUP, LTD.",WTM,"$5,721.50"
"PRIDE INTERNATIONAL, INC.",PDE,"$5,717.90"
IMS HEALTH INCORPORATED,RX,"$5,699.70"
LEUCADIA NATIONAL CORPORATION,LUK,"$5,671.20"
"ALLEGHENY ENERGY, INC.",AYE,"$5,665.70"
HEALTH NET INC.,HNT,"$5,653.20"
FORMENTO ECONOMICO MEXICANO S.A. DE C.V.,FMX,"$5,643.50"
"LEXMARK INTERNATIONAL, INC.",LXK,"$5,636.50"
ISHARES RUSSELL 1000 VALUE INDEX FUND,IWD,"$5,619.20"
THOMSON MULTIMEDIA S.A.,TMS,"$5,616.50"
"ARCH COAL, INC.",ACI,"$5,597.70"
NORTHERN INDIANA PUBLIC SERVICE COMPANY,NI,"$5,596.90"
"CBOT HOLDINGS, INC.",BOT,"$5,592.30"
DAVITA INC.,DVA,"$5,568.10"
CABLEVISION SYSTEMS CORPORATION,CVC,"$5,521.40"
CORUS GROUP PLC,CGA,"$5,514.70"
"COMVERSE TECHNOLOGY, INC.",CMVT,"$5,513.60"
COOPER CAMERON CORPORATION,CAM,"$5,488.60"
IRON MOUNTAIN INCORPORATED,IRM,"$5,466.10"
WILLIS GROUP HOLDINGS LIMITED,WSH,"$5,463.40"
THERMO ELECTRON CORPORATION,TMO,"$5,458.00"
WHIRLPOOL CORPORATION,WHR,"$5,443.20"
"CITRIX SYSTEMS, INC.",CTXS,"$5,438.60"
"POPULAR, INC.",BPOP,"$5,431.40"
NTL INCORPORATED,NTLI,"$5,387.00"
TIFFANY & CO.,TIF,"$5,362.60"
DEVELOPERS DIVERSIFIED REALTY CORPORATION,DDR,"$5,362.50"
DOLLAR GENERAL CORPORATION,DG,"$5,351.00"
VANGUARD TOTAL STOCK MARKET VIPERS,VTI,"$5,344.60"
APPLERA CORPORATION,ABI,"$5,325.50"
HUNTINGTON BANCSHARES INCORPORATED,HBAN,"$5,294.20"
CHINA TELECOM CORP LTD,CHA,"$5,280.40"
"CONSTELLATION BRANDS, INC.",STZ,"$5,275.20"
TOLL BROTHERS INC.,TOL,"$5,272.80"
TEMPLE-INLAND INC.,TIN,"$5,263.70"
CHECK POINT SOFTWARE TECHNOLOGIES LTD.,CHKP,"$5,261.60"
"REPUBLIC SERVICES, INC.",RSG,"$5,250.50"
"NEXTEL PARTNERS, INC.",NXTP,"$5,206.20"
"RED HAT, INC.",RHAT,"$5,108.70"
DEAN FOODS COMPANY,DF,"$5,105.40"
ALLEGHENY TECHNOLOGIES INCORPORATED,ATI,"$5,091.70"
"REXAM, PLC",REXMY,"$5,083.20"
MACERICH COMPANY (THE),MAC,"$5,079.10"
"GETTY IMAGES, INC.",GYI,"$5,068.20"
"HEALTH MANAGEMENT ASSOCIATES, INC.",HMA,"$5,065.10"
"MONSTER WORLDWIDE, INC.",MNST,"$5,033.00"
SHAW COMMUNICATIONS INC.,SJR,"$5,024.00"
"CADENCE DESIGN SYSTEMS, INC.",CDNS,"$5,010.30"
TESORO PETROLEUM CORPORATION,TSO,"$5,000.40"
"EQUIFAX, INC.",EFX,"$4,976.50"
JDS UNIPHASE CORPORATION,JDSU,"$4,974.00"
AVAYA INC.,AV,"$4,964.00"
ALLIANCE CAPITAL MANAGEMENT HOLDING L.P.,AC,"$4,937.30"
OLD REPUBLIC INTERNATIONAL CORPORATION,ORI,"$4,924.40"
"LIBERTY GLOBAL, INC.",LBTYA,"$4,917.50"
"ROWAN COMPANIES, INC.",RDC,"$4,903.40"
DUKE REALTY CORPORATION,DRE,"$4,886.80"
"INTUITIVE SURGICAL, INC.",ISRG,"$4,869.40"
BANCO DE CHILE,BCH,"$4,862.00"
EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA,ERJ,"$4,859.90"
WISCONSIN ENERGY CORPORATION,WEC,"$4,855.90"
JACOBS ENGINEERING GROUP INC.,JEC,"$4,851.50"
WEIGHT WATCHERS INTERNATIONAL INC,WTW,"$4,847.70"
MEADWESTVACO CORPORATION,MWV,"$4,841.60"
GOODRICH CORPORATION (THE),GR,"$4,839.20"
ENGELHARD CORPORATION,EC,"$4,832.30"
MATAV,MTA,"$4,811.50"
DUN & BRADSTREET CORPORATION (THE),DNB,"$4,798.60"
"LIBERTY GLOBAL, INC.",LBTYK,"$4,798.40"
"BMC SOFTWARE, INC.",BMC,"$4,780.20"
ISHARES RUSSELL 1000 GROWTH INDEX FUND,IWF,"$4,778.80"
ST. JOE COMPANY (THE),JOE,"$4,778.20"
"SANYO ELECTRIC CO., LTD.",SANYY,"$4,774.50"
FIRST TENNESSEE NATIONAL CORPORATION,FHN,"$4,771.70"
HUNTSMAN CORPORATION,HUN,"$4,766.20"
PATTERSON COMPANIES INC.,PDCO,"$4,762.40"
RADIAN GROUP INC.,RDN,"$4,751.60"
ASHLAND INC.,ASH,"$4,747.00"
WESTERN DIGITAL CORPORATION,WDC,"$4,715.20"
ADVANCE AUTO PARTS INC,AAP,"$4,713.30"
CHECKFREE CORPORATION,CKFR,"$4,701.90"
MANPOWER INC,MAN,"$4,701.20"
MERCANTILE BANKSHARES CORPORATION,MRBK,"$4,672.60"
"AMYLIN PHARMACEUTICALS, INC.",AMLN,"$4,670.60"
WATERS CORPORATION,WAT,"$4,642.70"
METSO CORPORATION,MX,"$4,642.00"
TELE NORTE LESTE PARTICIPACOES S.A.,TNE,"$4,639.30"
BROWN-FORMAN CORPORATION,BF/B,"$4,633.60"
"ESTEE LAUDER COMPANIES, INC. (THE)",EL,"$4,631.10"
AMERICAN POWER CONVERSION CORPORATION,APCC,"$4,628.90"
CB RICHARD ELLIS GROUP INC,CBG,"$4,621.60"
HORMEL FOODS CORPORATION,HRL,"$4,620.60"
ASSOCIATED BANC-CORP,ASBC,"$4,618.10"
"NEW YORK COMMUNITY BANCORP, INC.",NYB,"$4,602.40"
SCANA CORPORATION,SCG,"$4,598.80"
"WILLIAMS-SONOMA, INC.",WSM,"$4,591.40"
"KNIGHT-RIDDER, INC.",KRI,"$4,585.60"
SEALED AIR CORPORATION,SEE,"$4,580.40"
"BEA SYSTEMS, INC.",BEAS,"$4,578.50"
"STATION CASINOS, INC.",STN,"$4,578.50"
CUMMINS INC.,CMI,"$4,556.10"
AMCOR LIMITED,AMCR,"$4,554.40"
"KING PHARMACEUTICALS, INC.",KG,"$4,533.60"
"LEGGETT & PLATT, INCORPORATED",LEG,"$4,529.30"
AMPHENOL CORPORATION,APH,"$4,517.70"
STILWELL FINANCIAL INC.,JNS,"$4,505.90"
"MICHAELS STORES, INC.",MIK,"$4,495.60"
"URBAN OUTFITTERS, INC.",URBN,"$4,490.70"
ATI TECHNOLOGIES INC.,ATYT,"$4,488.30"
FIRST AMERICAN CORPORATION (THE),FAF,"$4,488.20"
AXIS CAPITAL HOLDINGS LIMITED,AXS,"$4,485.10"
CDW CORPORATION,CDWC,"$4,472.70"
"CIRCUIT CITY STORES, INC.",CC,"$4,463.00"
AMB PROPERTY CORPORATION,AMB,"$4,460.80"
"EQUITABLE RESOURCES, INC.",EQT,"$4,460.20"
TREND MICRO INCORPORATED,TMIC,"$4,459.80"
IPSCO INC.,IPS,"$4,448.80"
SALESFORCE.COM INC,CRM,"$4,445.70"
LAFARGE CORPORATION,LAF,"$4,420.40"
"NVR, INC.",NVR,"$4,411.00"
PACIFIC CENTURY CYBERWORKS LIMITED,PCW,"$4,410.30"
"CIBA SPECIALTY CHEMICALS HOLDING, INC.",CSB,"$4,406.30"
STUDENT LOAN CORPORATION (THE),STU,"$4,380.00"
REGENCY CENTERS CORPORATION,REG,"$4,374.40"
SIGMA-ALDRICH CORPORATION,SIAL,"$4,362.50"
"CENTURYTEL, INC.",CTL,"$4,362.10"
POTOMAC ELECTRIC POWER COMPANY,POM,"$4,360.70"
SUPERVALU INC.,SVU,"$4,352.70"
"INTERPUBLIC GROUP OF COMPANIES, INC. (THE)",IPG,"$4,348.30"
PEOPLE'S BANK,PBCT,"$4,346.10"
MDU RES GROUP INC,MDU,"$4,339.10"
COMP EN DE MN CEMIG ADS,CIG,"$4,332.10"
TOMKINS PLC,TKS,"$4,254.50"
"MYLAN LABORATORIES, INC.",MYL,"$4,241.60"
USG CORPORATION,USG,"$4,237.40"
ISHARES LEHMAN 1-3 YEAR TREASURY BOND FUND,SHY,"$4,232.30"
GTECH HOLDINGS CORPORATION,GTK,"$4,225.90"
DENTSPLY INTERNATIONAL INC.,XRAY,"$4,222.40"
PINNACLE WEST CAPITAL CORPORATION,PNW,"$4,218.40"
GLAMIS GOLD LTD.,GLG,"$4,217.50"
BALL CORPORATION,BLL,"$4,213.70"
"TRANSATLANTIC HOLDINGS, INC.",TRH,"$4,169.90"
PRECISION DRILLING CORPORATION,PDS,"$4,169.60"
BROWN-FORMAN CORPORATION,BF/A,"$4,151.40"
LAMAR ADVERTISING COMPANY,LAMR,"$4,144.50"
"ADVANCED SEMICONDUCTOR ENGINEERING, INC.",ASX,"$4,144.00"
"FEDERATED INVESTORS, INC.",FII,"$4,138.10"
MAKITA CORP.,MKTAY,"$4,124.90"
"ROSS STORES, INC.",ROST,"$4,124.00"
"CEPHALON, INC.",CEPH,"$4,118.70"
INTERSIL CORPORATION,ISIL,"$4,111.60"
LINCARE HOLDINGS INC.,LNCR,"$4,109.30"
"ARROW ELECTRONICS, INC.",ARW,"$4,108.30"
"AUTOLIV, INC.",ALV,"$4,100.50"
STANLEY WORKS (THE),SWK,"$4,100.30"
NAVTEQ CORP,NVT,"$4,097.40"
CITIZENS COMMUNICATIONS COMPANY,CZN,"$4,096.90"
SEI INVESTMENTS COMPANY,SEIC,"$4,093.50"
TRANSALTA CORPORATION,TAC,"$4,090.30"
ISHARES S&P SMALLCAP 600 INDEX FUND,IJR,"$4,085.10"
"HELMERICH & PAYNE, INC.",HP,"$4,083.30"
NEW YORK TIMES COMPANY (THE),NYT,"$4,082.20"
ALBERTO-CULVER COMPANY,ACV,"$4,081.60"
AMR CORPORATION,AMR,"$4,077.90"
APARTMENT INVESTMENT AND MANAGEMENT COMPANY,AIV,"$4,069.30"
"HENRY SCHEIN, INC.",HSIC,"$4,065.40"
DISCOVERY HOLDING CO,DISCA,"$4,064.30"
ENERGY TRANSFER PARTNERS,ETP,"$4,063.30"
ISTAR FINANCIAL INC.,SFI,"$4,059.30"
GLOBAL PAYMENTS INC.,GPN,"$4,034.80"
BOYD GAMING CORPORATION,BYD,"$4,033.60"
"AMERICAN EAGLE OUTFITTERS, INC.",AEOS,"$4,033.20"
MECHEL STEEL GROUP OAO,MTL,"$4,021.20"
"PHARMACEUTICAL PRODUCT DEVELOPMENT, INC.",PPDI,"$3,998.50"
LIBERTY PROPERTY TRUST,LRY,"$3,993.80"
"BROWN & BROWN, INC.",BRO,"$3,993.60"
"CENTERPOINT ENERGY, INC (HOLDING CO)",CNP,"$3,963.20"
ARCH CAPITAL GROUP LTD.,ACGL,"$3,957.70"
AMERICREDIT CORPORATION,ACF,"$3,934.10"
EASTMAN CHEMICAL COMPANY,EMN,"$3,933.90"
"MARTIN MARIETTA MATERIALS, INC.",MLM,"$3,930.70"
"NOVELLUS SYSTEMS, INC.",NVLS,"$3,929.30"
"ACTIVISION, INC.",ATVI,"$3,924.80"
"DST SYSTEMS, INC.",DST,"$3,909.50"
