NAME,Symbol,Market Value (millions)
MANULIFE FINANCIAL CORP,MFC,"$48,275.90"
TARGET CORPORATION,TGT,"$48,135.30"
TELEFONICA MOVILES S.A.,TEM,"$47,852.60"
"BRITISH AMERICAN TOBACCO  INDUSTRIES, P.L.C.",BTI,"$47,662.40"
"UNITED PARCEL SERVICE, INC.",UPS,"$47,629.80"
WELLPOINT HEALTH NETWORKS INC.,WLP,"$47,324.20"
TEXAS INSTRUMENTS INCORPORATED,TXN,"$47,295.70"
SUEZ ADS,SZE,"$47,234.00"
FEDERAL HOME LOAN MORTGAGE CORPORATION,FRE,"$46,957.80"
BHP BILLITON PLC,BBL,"$46,524.60"
"CATERPILLAR, INC.",CAT,"$46,186.10"
LEHMAN ABS CORPORATION,BMY,"$44,589.10"
"KONINKLIJKE PHILIPS ELECTRONICS, N.V.",PHG,"$44,312.10"
MCDONALD'S CORPORATION,MCD,"$44,062.60"
WALGREEN COMPANY,WAG,"$43,803.20"
DIAGEO PLC,DEO,"$43,017.90"
ENCANA CORPORATION,ECA,"$42,826.20"
BROWN-FORMAN CORPORATION,BF,"$42,299.50"
"AMERICA MOVIL, S.A. DE C.V.",AMX,"$41,854.50"
"WASHINGTON MUTUAL, INC.",WM,"$41,503.60"
NATIONAL AUSTRALIA BANK LIMITED,NAB,"$41,326.70"
HALLIBURTON COMPANY,HAL,"$40,832.30"
DOW CHEMICAL COMPANY (THE),DOW,"$40,824.70"
UNILEVER NV,UN,"$40,124.60"
BG GROUP PLC,BRG,"$40,090.90"
PETROLEO BRASILEIRO SA PETRO,PBR/A,"$39,856.30"
OCCIDENTAL PETROLEUM CORPORATION,OXY,"$39,295.40"
ALCON INC,ACL,"$39,244.30"
BANK OF NOVA SCOTIA (THE),BNS,"$38,832.10"
VALERO ENERGY CORPORATION,VLO,"$38,623.40"
CIA VALE DO RIO DOCE,RIO,"$38,449.90"
NOMURA HOLDINGS INC ADR,NMR,"$38,355.10"
EXELON CORP,EXC,"$38,312.10"
PRUDENTIAL FINANCIAL INC,PRU,"$38,046.70"
"METLIFE, INC.",MET,"$37,985.00"
TORONTO DOMINION BANK (THE),TD,"$37,926.30"
COMCAST CORPORATION,CMCSA,"$37,907.90"
LEHMAN BROTHERS FIN SA,LEH,"$37,627.80"
TELECOM ITALIA S.P.A.,TI,"$37,557.70"
CORNING INCORPORATED,GLW,"$37,114.60"
SUNCOR ENERGY  INC.,SU,"$36,617.80"
VIVENDI UNIVERSAL,V,"$36,115.40"
E.I. DU PONT DE NEMOURS AND COMPANY,DD,"$35,993.50"
CNOOC LIMITED,CEO,"$35,344.00"
AUSTRALIA & NEW ZEALAND BANKING GROUP LIMITED,ANZ,"$34,934.70"
NEWS CORPORATION LIMITED (THE),NWS/A,"$34,905.90"
FIRST DATA CORPORATION,FDC,"$34,397.80"
MILLEA HOLDINGS INC. ADR,MLEA,"$34,316.40"
BURLINGTON RESOURCES INC.,BR,"$34,255.40"
ALLSTATE CORPORATION (THE),ALL,"$33,761.80"
CANADIAN NATURAL RESOURCES LIMITED,CNQ,"$33,253.60"
REPSOL YPF S.A.,REP,"$33,219.70"
CARNIVAL CORPORATION,CCL,"$32,977.20"
WESTPAC BANKING CORPORATION,WBK,"$32,532.00"
HONEYWELL INTERNATIONAL INC.,HON,"$32,378.80"
"ANHEUSER-BUSCH COMPANIES, INC.",BUD,"$32,171.30"
EMC CORPORATION,EMC,"$31,947.60"
NORSK HYDRO ASA,NHY,"$31,908.30"
EMERSON ELECTRIC COMPANY,EMR,"$31,846.30"
"ST. PAUL COMPANIES, INC. (THE)",STA,"$31,423.40"
